39408288,[39408288]
39409535,"[39408288, 39409650, 39409653, 39413972, 39414532, 39415234, 39416543, 39416602, 39417503, 39418283, 39418386, 39418412, 39508257, 39618673, 39420453, 39420769, 39421090, 39423949, 39424688, 39426631, 39427876, 39428409, 39428609, 39428880, 39429370, 39430095, 39432876, 39433451, 39435320, 39848847, 39436358, 39438908, 39439655, 39440179, 39440808, 39442273, 39442429, 39443679, 39443965, 39444282, 39444500, 39446537, 39447041, 39449424, 39449748, 39450669, 39462087, 39452494, 39453271, 39481554, 39453660, 39457875, 39457974, 39458264, 39481670, 39460148, 39462087, 39462516, 39465230, 39474909, 39465250, 39465485, 39465517, 39466630, 39599958, 39467132, 39467885, 39470381, 39471116, 39471221, 39471388, 39471568, 39474467, 39474909, 39476074, 39476304, 39478551, 39479001, 39479478, 39480407, 39481554, 39481670, 39483482, 39486717, 39487124, 39487341, 39488668, 39488836, 39489920, 39491863, 39494925, 39498345, 39499207, 39501061, 39501073, 39501982, 39853958, 39502276, 39504715, 39504981, 39508046, 39508257, 39563618, 39509379, 39509983, 39510147, 39511477, 39511530, 39511676, 39511714, 39512332, 39512896, 39512912, 39516007, 39516927, 39517145, 39519894, 39520776, 39522249, 39522348, 39522734, 39522798, 39523403, 39523495, 39523813, 39524164, 39525243, 39526057, 39528134, 39528726, 39529775, 39530113, 39530203, 39530487, 39531536, 39532367, 39532650, 39532754, 39534574, 39534937, 39535800, 39535969, 39537448, 39537543, 39538425, 39538670, 39538800, 39539252, 39540738, 39540886, 39543291, 39544286, 39544498, 39545676, 39547109, 39547940, 39548088, 39548410, 39549194, 39549486, 39551064, 39554539, 39557188, 39559281, 39559318, 39559411, 39560033, 39560705, 39560862, 39560887, 39561021, 39561356, 39562467, 39562530, 39562760, 39562986, 39894820, 39563618, 39564632, 39566732, 39566766, 39568728, 39570692, 39571308, 39572858, 39573093, 39575803, 39576974, 39577878, 39578501, 39581664, 39581976, 39582745, 39583473, 39584654, 39585207, 39586828, 39587344, 39589483, 39589924, 39590666, 39591529, 39592444, 39592689, 39593256, 39593647, 39597030, 39597131, 39598189, 39598903, 39599958, 39600810, 39601538, 39602417, 39603087, 39604590, 39604600, 39604745, 39606048, 39606464, 39606885, 39609336, 39609997, 39611484, 39612443, 39614433, 39615715, 39618673, 39643981, 39618822, 39619041, 39620060, 39620540, 39622787, 39623128, 39624842, 39625919, 39626657, 39627443, 39628285, 39628842, 39629004, 39629044, 39629225, 39630985, 39631139, 39631516, 39633172, 39635483, 39635743, 39636470, 39637471, 39637487, 39638836, 39639125, 39640992, 39641113, 39642920, 39643136, 39643833, 39643958, 39643981, 39647105, 39895994, 39647331, 39650498, 39651796, 39653718, 39656455, 39656657, 39656899, 39660592, 39662698, 39666956, 39666993, 39668053, 39668962, 39669167, 39670102, 39670922, 39672450, 39673087, 39673589, 39673754, 39675054, 39675249, 39675807, 39676767, 39678532, 39678555, 39678555, 39678783, 39679787, 39680997, 39681920, 39683455, 39684027, 39686585, 39690917, 39687132, 39688545, 39690363, 39690725, 39690917, 39691735, 39691808, 39692387, 39692801, 39696139, 39698398, 39698546, 39699333, 39700256, 39701358, 39701931, 39702479, 39702568, 39702604, 39704914, 39705788, 39785815, 39787559, 39706004, 39706330, 39706968, 39708591, 39708957, 39709089, 39709912, 39709981, 39710454, 39710455, 39711621, 39711725, 39712618, 39713323, 39714053, 39717558, 39718558, 39720007, 39720388, 39723704, 39724045, 39725057, 39725303, 39728146, 39728153, 39729057, 39730748, 39730962, 39731824, 39732116, 39733275, 39735675, 39735716, 39737281, 39737401, 39740518, 39742114, 39742422, 39742578, 39742692, 39742916, 39743594, 39744932, 39745993, 39746468, 39746806, 39747105, 39749312, 39749646, 39752051, 39752504, 39753115, 39755471, 39756325, 39759325, 39759693, 39760333, 39763750, 39766170, 39766893, 39768434, 39768438, 39768860, 39773641, 39775304, 39777229, 39778412, 39778590, 39778999, 39782356, 39783223, 39785815, 39787559, 39786666, 39786984, 39787176, 39787559, 39788322, 39789920, 39790365, 39793044, 39793293, 39793513, 39793754, 39793912, 39796216, 39796550, 39797176, 39797659, 39798115, 39799752, 39801088, 39801399, 39802157, 39803508, 39803845, 39804214, 39806139, 39807912, 39808921, 39810378, 39848847, 39849644, 39850972, 39852118, 39852167, 39852219, 39852953, 39853958, 39854182, 39856413, 39857433, 39858144, 39858219, 39858750, 39858850, 39860769, 39861578, 39861680, 39864210, 39864412, 39865810, 39872686, 39873692, 39874931, 39877267, 39877730, 39878681, 39879710, 39882018, 39883747, 39886328, 39887313, 39887931, 39888383, 39889286, 39914981, 39902241, 39891607, 39890262, 39891607, 39902241, 39903685, 39914981, 39894148, 39894820, 39895344, 39895453, 39895744, 39895960, 39895994, 39896371, 39898221, 39900329, 39901289, 39902205, 39902241, 39914981, 39902372, 39902854, 39903685, 39903738, 39905441, 39906924, 39907468, 39907845, 39907876, 39908579, 39910119, 39911587, 39912330, 39942880, 39913616, 39914981, 39915594, 39916144, 39917509, 39918245, 39918500, 39919401, 39920644, 39922006, 39923404, 39925186, 39927657, 39928173, 39936284, 39928558, 39928604, 39928679, 39930195, 39930463, 39930809, 39930887, 39930919, 39933076, 39933833, 39934696, 39936246, 39936284, 39938005, 39938072, 39938703, 39940975, 39942122, 39942288, 39942397, 39942880, 39944496, 39947713, 39948044, 39950760, 39952902, 39954422, 39956455]"
39409650,[39409650]
39409653,[39409653]
39413972,[39413972]
39414532,[39414532]
39415234,[39415234]
39416543,[39416543]
39416602,[39416602]
39417503,[39417503]
