39408288,We Have to Start Over: From Atom to Zed,"['Atom to Rust', 'Choices', 'Development', 'Vision', 'Technology', 'Zed']"
39409535,"So long, and thanks for all the bytes",
39409650,Ollama is now available on Windows in preview,"['Language models', 'Vision models', 'Windows', 'GPU', 'Preview', 'Ollama']"
39409653,The Ute Tribe will construct one of the largest solar farms in the US,"['Construction', 'Canigou Group', 'Electricians', 'Solar farm', 'Renewable energy', 'Laborers']"
39413972,My notes on Gitlab's Postgres schema design (2022),"['SQL', 'monolithic', 'structuresql', 'Ruby on Rails', 'schema migration', 'DevOps', 'Postgres', 'Gitlab', 'database neutrality', 'GitHub', 'open-source']"
39414532,Representation Engineering: Mistral-7B on Acid,"['Control vectors', 'Inference manipulation', 'Model interpretability', 'Safety applications', 'AI transparency']"
39415234,Science fiction authors were excluded from awards for fear of offending China,"['Literary award', 'Hugo Awards', 'Science fiction', 'China', 'Political considerations']"
39416543,The Layoff,"['Project', 'Ethica', 'Calendar', 'Learning', 'HypeScript', 'Smartwatch', 'Meeting']"
39416602,Apple Watch Ultra 2 Hacked,"['Hacking', 'Apple Watch', 'Privacy', 'Personal Information', 'Security']"
39417503,Wddbfs – Mount a SQLite database as a filesystem,"['SQLite', 'Database', 'WebDAV', 'File system', 'Inspect']"
39418283,CorsixTH: Open-source clone of Theme Hospital,"['Modern features', 'Community contributions', 'Open-source reimplementation', 'Business simulator', 'Theme Hospital']"
39418386,EU to hit Apple with first ever fine in €500M penalty over music streaming,"['Fee', 'Premium subscription', 'Industry standards', 'Spotify', 'Antitrust probe', 'Subscription', 'The European Commission']"
39418412,Apple broke iPhone web apps in the EU for anticompetitive reasons – Tim Sweeney,"['the Digital Markets Act', 'Compliance', 'Privacy', 'EU', 'Web apps', 'Apple']"
39420453,RoR Debugbar,"['Debugging', 'Analysis', 'Development', 'Performance', 'Tools']"
39420769,I taught the Iliad to Chinese teenagers (2021),"['American universities', 'Seminars', 'Cultural differences', 'College', 'Chinese students']"
39421090,Lapce,"['Code editor', 'LSP', 'Remote connection', 'WASI', 'Rust', 'Open source']"
